Designator,Mid X,Mid Y,Rotation,Layer
D1,135.73125,-69.05625,0.0,top
D10,145.2532,-154.778,270.0,bottom
D2,111.9164,-102.3916,0.0,top
D3,114.2976,-69.0548,0.0,top
D5,107.154,-135.7284,270.0,bottom
D6,107.154,-154.778,270.0,bottom
D7,126.2036,-154.778,270.0,bottom
D8,126.2036,-135.7284,270.0,bottom
D9,145.2532,-135.7284,270.0,bottom
J2,134.864529,-95.030159,0.0,top
SW1,116.537238,-132.656275,0.0,top
SW2,116.537238,-151.706275,0.0,top
SW3,135.587238,-132.656275,0.0,top
SW4,135.587238,-151.706275,0.0,top
SW5,154.637238,-132.656275,0.0,top
SW6,154.637238,-151.706275,0.0,top
SW7,154.78125,-73.81875,0.0,top
U1,132.808016,-63.215673,0.0,bottom
